acronym	Partnership	action
TolerizeMG	Eurostars 2	Article 185
17RPT04 VersICaL	EMPIR	Article 185
uTP4Q	QuantERA II	ERA-NET Cofund
XamFlow	Eurostars 2	Article 185
DeepSegment	Eurostars 2	Article 185
Mini HR	Eurostars 2	Article 185
A4A	AAL 2	Article 185
ACESO	AAL 2	Article 185
ACORN	ACT	ERA-NET Cofund
ACTOM	ACT	ERA-NET Cofund
ACTTDCS	Eurostars 2	Article 185
AD SCANNER	Eurostars 2	Article 185
AD Shield	Eurostars 2	Article 185
FREECLIMB	PRIMA	Article 185
BioCCHP	BESTF3	ERA-NET Cofund
CASEAWA	BlueBio	ERA-NET Cofund
ACTiON	ACT	ERA-NET Cofund
NANO2COM	M-ERA.NET 2	ERA-NET Cofund
ADVAGROMED	PRIMA	Article 185
AENEAS	Eurostars 2	Article 185
AFREENET	EDCTP2	Article 185
AGROECOseqC	EJP SOIL	EJP Cofund
AGVISER	MANUNET III	ERA-NET Cofund
AII	Eurostars 2	Article 185
SeizureAI	Eurostars 2	Article 185
AIMPC	Eurostars 2	Article 185
Preserve	ERA PerMed	ERA-NET Cofund
AI in the Sky	Eurostars 2	Article 185
GESTURES	Eurostars 2	Article 185
AI-START	Eurostars 2	Article 185
AISOP	EnerDigit	ERA-NET Cofund
ACDC for Cure	Eurostars 2	Article 185
AGAVE	Eurostars 2	Article 185
APP2SCALE	Eurostars 2	Article 185
TV-Scanner	Eurostars 2	Article 185
Agrivi-Meteo Control	Eurostars 2	Article 185
ACODA	Eurostars 2	Article 185
AI-gent3D	MANUNET III	ERA-NET Cofund
AIHABs	AquaticPollutants	ERA-NET Cofund
AID2BeWell	AAL 2	Article 185
AIES	Eurostars 2	Article 185
SAFWA	PRIMA	Article 185
ALTO	AAL 2	Article 185
ALL-IN	CORE Organic Cofund	ERA-NET Cofund
AMIGO	ACT	ERA-NET Cofund
AMMR	Eurostars 2	Article 185
AMMOTRACE	MarTERA	ERA-NET Cofund
AMPERE	Eurostars 2	Article 185
ANSOLCO	M-ERA.NET 2	ERA-NET Cofund
HAKOBIO ACADEMY	Eurostars 2	Article 185
ARCADES	Eurostars 2	Article 185
ASICS	BiodivClim	ERA-NET Cofund
FACU2	Eurostars 2	Article 185
AUTOCHARGE	Eurostars 2	Article 185
AVATAR	ForestValue	ERA-NET Cofund
AWESOME	PRIMA	Article 185
14RPT04 Absorb	EMPIR	Article 185
CO2TREAT	ERA-MIN3	ERA-NET Cofund
ACWAPUR	WaterWorks2014	ERA-NET Cofund
NanoBainControl	M-ERA.NET 2	ERA-NET Cofund
PV-DETECT	Solar Cofund 2	ERA-NET Cofund
ABSALT	ACT	ERA-NET Cofund
AC2COM	ACT	ERA-NET Cofund
AddMoreNMR	Eurostars 2	Article 185
ALIGN	ACT	ERA-NET Cofund
RestoreLeak	NEURON Cofund2	ERA-NET Cofund
NOVOBIOME	Eurostars 2	Article 185
MENTA	QuantERA II	ERA-NET Cofund
iC-ACCESS	HERA JRP UP	ERA-NET Cofund
STAPLES	PRIMA	Article 185
1000-OFS	Eurostars 2	Article 185
AcoustoScan	Eurostars 2	Article 185
ACOUPLAST	Eurostars 2	Article 185
TECH-TOYS	ERA PerMed	ERA-NET Cofund
ACCORDS	Eurostars 2	Article 185
GRAFOOD	M-ERA.NET 2	ERA-NET Cofund
ANM4L	EN SGplusRegSys	ERA-NET Cofund
AGAPE	AAL 2	Article 185
Safe*Coast	Eurostars 2	Article 185
ALARUM	JPIAMR-ACTION	ERA-NET Cofund
ASPE!CT	Eurostars 2	Article 185
Blood-CHMI-Trans	EDCTP2	Article 185
AmBi PV	Solar Cofund 2	ERA-NET Cofund
AdaMedOr	PRIMA	Article 185
VEG-ADAPT	PRIMA	Article 185
PlantCline	BiodivClim	ERA-NET Cofund
ACQUAOUNT	PRIMA	Article 185
ACES	ERANet SmartGridPlus	ERA-NET Cofund
AIR-MI	ERA-CVD	ERA-NET Cofund
AGREEMAR	PRIMA	Article 185
dynaTWIN	Eurostars 2	Article 185
A-BRAIN	NEURON Cofund	ERA-NET Cofund
GENDER-ARP	GENDER NET Plus	ERA-NET Cofund
AVARE	SUSFOOD2	ERA-NET Cofund
VALUEFARM	Eurostars 2	Article 185
AM-Crash	M-ERA.NET 2	ERA-NET Cofund
AM-ACTS	M-ERA.NET 3	ERA-NET Cofund
ALF3	M-ERA.NET 2	ERA-NET Cofund
3D-CFRP	M-ERA.NET 2	ERA-NET Cofund
AddiZwerk	M-ERA.NET 2	ERA-NET Cofund
SEBM-WC-Co	M-ERA.NET 2	ERA-NET Cofund
AM-MBI	MANUNET III	ERA-NET Cofund
A-MELIUS	M-ERA.NET 2	ERA-NET Cofund
AMCSS	M-ERA.NET 2	ERA-NET Cofund
RePoParts	M-ERA.NET 2	ERA-NET Cofund
AddMag	M-ERA.NET 3	ERA-NET Cofund
DART ATVA	Eurostars 2	Article 185
StressLIC	M-ERA.NET 2	ERA-NET Cofund
ALEC	Eurostars 2	Article 185
14IND01 3DMetChemIT	EMPIR	Article 185
A-ADAM	Eurostars 2	Article 185
ABC4Soil	FACCE SURPLUS	ERA-NET Cofund
ACROBAT	ERA-MIN3	ERA-NET Cofund
17IND08 AdvanCT	EMPIR	Article 185
ACMC	Eurostars 2	Article 185
ADCATER	ICT-AGRI-FOOD	ERA-NET Cofund
ANICA	ACT	ERA-NET Cofund
AIM4DoC	Eurostars 2	Article 185
AIMES	Eurostars 2	Article 185
ALISA	M-ERA.NET 3	ERA-NET Cofund
AMTEG	ERA-MIN 2	ERA-NET Cofund
AMAZE	M-ERA.NET 2	ERA-NET Cofund
BioValue	M-ERA.NET 2	ERA-NET Cofund
SMART Brain	FLAG-ERA III	ERA-NET Cofund
16ENG02 PV-Enerate	EMPIR	Article 185
PCOOLDATA	Eurostars 2	Article 185
PLABAN	PhotonicSensing	ERA-NET Cofund
APAD: www.apad.technology	Eurostars 2	Article 185
APP	Eurostars 2	Article 185
AQuSeND	QuantERA II	ERA-NET Cofund
PV-T solarVANCE	Eurostars 2	Article 185
ASGARD-ASAP	Eurostars 2	Article 185
TRIBOSS	Eurostars 2	Article 185
19ENV08 AEROMET II	EMPIR	Article 185
BIOMB	M-ERA.NET 2	ERA-NET Cofund
ABAWARE	WaterWorks2015	ERA-NET Cofund
ADVENTURE	M-ERA.NET 2	ERA-NET Cofund
TOPCAPI	M-ERA.NET 3	ERA-NET Cofund
SmartGov	ENSCC	ERA-NET Cofund
Cellu4Heal	M-ERA.NET 3	ERA-NET Cofund
XploreCAD	ERA-CVD	ERA-NET Cofund
nanoCANdi	M-ERA.NET 3	ERA-NET Cofund
IMAID	Eurostars 2	Article 185
Al-Phobe Tool	Eurostars 2	Article 185
Firedetect	Eurostars 2	Article 185
FEMTOLENS	Eurostars 2	Article 185
BIOMAG	M-ERA.NET 2	ERA-NET Cofund
ArcAMAT	M-ERA.NET 3	ERA-NET Cofund
AtraumaBioMat	M-ERA.NET 3	ERA-NET Cofund
3DPD	JPco-fuND	ERA-NET Cofund
ModelPolyQ	JPco-fuND	ERA-NET Cofund
PV-ANALYTIC	Solar Cofund 2	ERA-NET Cofund
AP3-Hard	Eurostars 2	Article 185
SIGRIN	Eurostars 2	Article 185
NEWCLINE	CSP ERANET	ERA-NET Cofund
TiFOON	EMPIR	Article 185
BARISTA	SusCrop	ERA-NET Cofund
15SIP05 TBCUnc	EMPIR	Article 185
Advanco	Eurostars 2	Article 185
ABCAP	ERA PerMed	ERA-NET Cofund
BIVALVI	BlueBio	ERA-NET Cofund
LIQUIDHOPE	TRANSCAN-2	ERA-NET Cofund
AQUACLEW	ERA4CS	ERA-NET Cofund
ANGSTROM	M-ERA.NET 3	ERA-NET Cofund
ADVIAMOS	CSP ERANET	ERA-NET Cofund
17SIP07 Adlab-XMet	EMPIR	Article 185
17NRM05 EMUE	EMPIR	Article 185
AG-WaMED	PRIMA	Article 185
LIANDRI	PhotonicSensing	ERA-NET Cofund
AEROBIOMICS-AMR	JPIAMR-ACTION	ERA-NET Cofund
16ENV07 AEROMET	EMPIR	Article 185
AerOrbi	Eurostars 2	Article 185
MatDeMa	M-ERA.NET 3	ERA-NET Cofund
ASEM COCOONS	Eurostars 2	Article 185
ASF-RASH	ICRAD	ERA-NET Cofund
ALERRT	EDCTP2	Article 185
UNUP	HERA JRP UP	ERA-NET Cofund
A’CHEF	Eurostars 2	Article 185
HKM Robot	Eurostars 2	Article 185
AMS	Eurostars 2	Article 185
AgWIT	WaterWorks2015	ERA-NET Cofund
SPECTROFOOD	ICT-AGRI-FOOD	ERA-NET Cofund
FoWRSaP	PRIMA	Article 185
ARTEMIS	EJP SOIL	EJP Cofund
digging_deeper	BiodivERsA3	ERA-NET Cofund
HaloSheep	PRIMA	Article 185
ALL-Organic	CORE Organic Cofund	ERA-NET Cofund
ASTER	PRIMA	Article 185
LIGNOXOS	Eurostars 2	Article 185
AiCo	Eurostars 2	Article 185
SOFTLAND	Eurostars 2	Article 185
ABC-Cancer	TRANSCAN-2	ERA-NET Cofund
AIRSWIM	Eurostars 2	Article 185
Air-AM	Eurostars 2	Article 185
AlCoat	Eurostars 2	Article 185
Albuminuria and ACEI/ARB among HIV-patients	EDCTP2	Article 185
AGORA	ERA PerMed	ERA-NET Cofund
ASAP Tau	JPco-fuND	ERA-NET Cofund
GRAPH-EYE	FLAG-ERA II	ERA-NET Cofund
QISS·ME	QuantERA II	ERA-NET Cofund
POLYOMINO	Eurostars 2	Article 185
TreatPolyQ	E-Rare-3	ERA-NET Cofund
CHAPERONE	Eurostars 2	Article 185
aSynProtec	JPco-fuND	ERA-NET Cofund
ACRoBAT	NEURON Cofund	ERA-NET Cofund
ALTRUISM	NEURON Cofund	ERA-NET Cofund
TransNeuro	JPco-fuND	ERA-NET Cofund
SuperSuper	M-ERA.NET 3	ERA-NET Cofund
SUSTAvianFEED	PRIMA	Article 185
ASTAWOL	EDCTP2	Article 185
ADAGE	JPco-fuND	ERA-NET Cofund
Gums&Brain	JPCOFUND2	ERA-NET Cofund
ADDITION	JPCOFUND2	ERA-NET Cofund
AGENTS	T2S	ERA-NET Cofund
SeaSoilDemo	BlueBio	ERA-NET Cofund
MAGNOLIA	NEURON Cofund	ERA-NET Cofund
ARGENTEA	Eurostars 2	Article 185
AIDA	MANUNET III	ERA-NET Cofund
TailBiteAdvice	ICT-AGRI-FOOD	ERA-NET Cofund
ISOCONCur	EMPIR	Article 185
17SIP03 ESCoShell	EMPIR	Article 185
ECIP	EDCTP2	Article 185
ICENESS	Eurostars 2	Article 185
SmartXTag	Eurostars 2	Article 185
ORBIPS	Eurostars 2	Article 185
15SIP02 ISOChemDepth	EMPIR	Article 185
DEPREDICT	Eurostars 2	Article 185
OMAP	Eurostars 2	Article 185
e-LEXIA	Eurostars 2	Article 185
PRO-C6-Rec	Eurostars 2	Article 185
AtTRACT	Eurostars 2	Article 185
3DBrainScreen	Eurostars 2	Article 185
ENVISION	BiodivScen	ERA-NET Cofund
EASY	Eurostars 2	Article 185
MODBATEV	Eurostars 2	Article 185
CARDIOMYO	Eurostars 2	Article 185
Recovery Fun	AAL 2	Article 185
FindingMS	ERA PerMed	ERA-NET Cofund
SYSTEMIC	ERA-HDHL	ERA-NET Cofund
SmartFire	Eurostars 2	Article 185
Euro MDS	TRANSCAN-2	ERA-NET Cofund
KidneySign	ERA PerMed	ERA-NET Cofund
iAqueduct	WaterWorks2017	ERA-NET Cofund
MEDIFIT	PRIMA	Article 185
CoolHead	Eurostars 2	Article 185
ProNoVi	MarTERA	ERA-NET Cofund
Anathema	AAL 2	Article 185
ALVALE	Eurostars 2	Article 185
REgions	EN SGplusRegSys	ERA-NET Cofund
FEEDMASTER	Eurostars 2	Article 185
AAK-INSIGHT	EJP RD	EJP Cofund
AfreeSSB	M-ERA.NET 3	ERA-NET Cofund
ABC2ALL	Eurostars 2	Article 185
ASCAR	Eurostars 2	Article 185
Anti-Icing HS	Eurostars 2	Article 185
ROCSANbio	TRANSCAN-2	ERA-NET Cofund
ARUVFIL	MANUNET III	ERA-NET Cofund
VENUS	M-ERA.NET 3	ERA-NET Cofund
Nano4Stroke	EuroNanoMed III	ERA-NET Cofund
BrainSave	Eurostars 2	Article 185
AnBaCo	M-ERA.NET 2	ERA-NET Cofund
BIOCIDE	AquaticPollutants	ERA-NET Cofund
LIGNP4WOUND	M-ERA.NET 2	ERA-NET Cofund
ARENA	AquaticPollutants	ERA-NET Cofund
AMI	EuroNanoMed III	ERA-NET Cofund
ANNAFIB	EuroNanoMed III	ERA-NET Cofund
STRESST	JPIAMR-ACTION	ERA-NET Cofund
ARCHER	Eurostars 2	Article 185
ARMED	EJP RD	EJP Cofund
SanFlex	M-ERA.NET 3	ERA-NET Cofund
ABOUT	EDCTP2	Article 185
ANTISOLVO	ERA-MIN 2	ERA-NET Cofund
Apollo	Eurostars 2	Article 185
TRAP	Eurostars 2	Article 185
GreenDriedFruits	PRIMA	Article 185
twin-crp-pod ULCS	MarTERA	ERA-NET Cofund
nanoBT	ERA-MIN 2	ERA-NET Cofund
ApresSF	QuantERA	ERA-NET Cofund
AIS-MR	Eurostars 2	Article 185
AC.DC-weeds	SusCrop	ERA-NET Cofund
Nitihealth	Eurostars 2	Article 185
ARREST	TRANSCAN-2	ERA-NET Cofund
CIRQUA	PRIMA	Article 185
AFETAR	Eurostars 2	Article 185
AQISE	Eurostars 2	Article 185
FLEXAQUA	MarTERA	ERA-NET Cofund
MIXROOT-C	EJP SOIL	EJP Cofund
FORTIFIER	MANUNET III	ERA-NET Cofund
AWAIRE	Eurostars 2	Article 185
ArtReco	Eurostars 2	Article 185
ASPIRE	Eurostars 2	Article 185
BIMBOT	Eurostars 2	Article 185
AI-COSTSQO	ERA-MIN3	ERA-NET Cofund
APP4FARM	ICT-AGRI-FOOD	ERA-NET Cofund
AI D	NEURON Cofund	ERA-NET Cofund
ArtIMiS	Eurostars 2	Article 185
XTRACT	Eurostars 2	Article 185
ArtiCo	Eurostars 2	Article 185
ADVISE2	Eurostars 2	Article 185
ArtiPro	ERA PerMed	ERA-NET Cofund
TANGERINE	TRANSCAN-3	ERA-NET Cofund
CAMI	AAL 2	Article 185
ALLEGRO	Eurostars 2	Article 185
Kids4LIFe	Eurostars 2	Article 185
BIOCLIMAPATHS	AXIS	ERA-NET Cofund
SUSTAg	FACCE SURPLUS	ERA-NET Cofund
RADIOS	Eurostars 2	Article 185
ConVErgence	ICRAD	ERA-NET Cofund
CLAMBIO	BiodivClim	ERA-NET Cofund
AWARE	WaterWorks2015	ERA-NET Cofund
SMC-NUT	EDCTP2	Article 185
MyLife,MyWay	AAL 2	Article 185
KILGORIS	EDCTP2	Article 185
SENSE	ACT	ERA-NET Cofund
SHANKAstro	NEURON Cofund2	ERA-NET Cofund
ENDLESS	ERA-CVD	ERA-NET Cofund
Treatoflex	MANUNET III	ERA-NET Cofund
Micro-needle breakthrough	Eurostars 2	Article 185
ALD4MAX	M-ERA.NET 2	ERA-NET Cofund
ATOSENS	M-ERA.NET 3	ERA-NET Cofund
BIO-ATTRACT	Eurostars 2	Article 185
AATMS	Eurostars 2	Article 185
VERIPHARM	Eurostars 2	Article 185
ANCE4STROKE	NEURON Cofund2	ERA-NET Cofund
CARDIOCONTRACT	Eurostars 2	Article 185
ADELI	Eurostars 2	Article 185
Add Ap	MANUNET III	ERA-NET Cofund
ProstAID	Eurostars 2	Article 185
MultiSense Aqua	Eurostars 2	Article 185
AMPhORA	Eurostars 2	Article 185
AutoReactPro	Eurostars 2	Article 185
BioProBot	Eurostars 2	Article 185
AutoSharkSpotting	Eurostars 2	Article 185
ROBO-FISH	Eurostars 2	Article 185
Pick & Place PV	Eurostars 2	Article 185
fPELA-fHb	Eurostars 2	Article 185
Quant-ALL	TRANSCAN-2	ERA-NET Cofund
AUTOFPI	MANUNET III	ERA-NET Cofund
AGENT	Eurostars 2	Article 185
Whassat?	Eurostars 2	Article 185
AutoPlan	MarTERA	ERA-NET Cofund
AVEROS	Eurostars 2	Article 185
ROSA	Eurostars 2	Article 185
ANDRUPOS	Eurostars 2	Article 185
FORESTMAP	Eurostars 2	Article 185
AUTO-WELF	CHANSE	ERA-NET Cofund
ARTWORK	Eurostars 2	Article 185
AIWAVE	Eurostars 2	Article 185
Legiotection	Eurostars 2	Article 185
14SIP03 Autopart	EMPIR	Article 185
AI-flex	EnerDigit	ERA-NET Cofund
ALLIES	CHIST-ERA III	ERA-NET Cofund
ARIM	MarTERA	ERA-NET Cofund
SMARTPOL	MarTERA	ERA-NET Cofund
AUTOPTC	Eurostars 2	Article 185
RB-LOG	Eurostars 2	Article 185
HydroSense	Eurostars 2	Article 185
ASAP	EN-UAC	ERA-NET Cofund
BESTROM	HERA-JRP-PS	ERA-NET Cofund
BEYOND	EN SGplusRegSys	ERA-NET Cofund
cyberBridge	Eurostars 2	Article 185
NANOSIM	EuroNanoMed III	ERA-NET Cofund
BIOGLIDER	MarTERA	ERA-NET Cofund
PLATMED	EuroNanoMed III	ERA-NET Cofund
BIOFAIR	BiodivClim	ERA-NET Cofund
BIO-BELIEF	FOSC	ERA-NET Cofund
BIPHASiC	Solar Cofund 2	ERA-NET Cofund
BLUE-CYCLING	FOSC	ERA-NET Cofund
STIMCODE	NEURON Cofund	ERA-NET Cofund
BREAKING BARRIERS- 2	Eurostars 2	Article 185
BREATHER Plus	EDCTP2	Article 185
BRIDGET	JPco-fuND	ERA-NET Cofund
BUPI	Eurostars 2	Article 185
ReLive	SusAn	ERA-NET Cofund
BacSens	Eurostars 2	Article 185
TANDEM	M-ERA.NET 2	ERA-NET Cofund
BONDS	BiodivScen	ERA-NET Cofund
PROENV	SusAn	ERA-NET Cofund
DoseCath	Eurostars 2	Article 185
BOBTANDEM	Solar Cofund 2	ERA-NET Cofund
BarPLUS	FACCE SURPLUS	ERA-NET Cofund
BRACE	SusCrop	ERA-NET Cofund
NG EIS	Eurostars 2	Article 185
Cool BatMan	M-ERA.NET 3	ERA-NET Cofund
BeauCoup	AAL 2	Article 185
GreenBeeSense	Eurostars 2	Article 185
BRAVA	ERA PerMed	ERA-NET Cofund
B2B2B AMRDx	JPIAMR-ACTION	ERA-NET Cofund
BIOACT	PRIMA	Article 185
BestBiosurf	ERA CoBioTech	ERA-NET Cofund
BACON	Eurostars 2	Article 185
EmbedterLabs	ENUTC	ERA-NET Cofund
ImmuScreen	Eurostars 2	Article 185
BetterLife	Eurostars 2	Article 185
ODYSSEUS	BiodivERsA3	ERA-NET Cofund
BeatMeat	Eurostars 2	Article 185
BAIT	Eurostars 2	Article 185
16NRM08 BiRD	EMPIR	Article 185
BAMBOO	Eurostars 2	Article 185
BigData@MA	MANUNET III	ERA-NET Cofund
BIO-NRG-STORE	EN SGplusRegSys	ERA-NET Cofund
BesTECH	BESTF3	ERA-NET Cofund
BaCLEM	ERA-MIN 2	ERA-NET Cofund
OLIVEPACK	PRIMA	Article 185
BioCASH	EJP SOIL	EJP Cofund
SmartBonePep	Eurostars 2	Article 185
